"","ID","REGION","SUBREGION","COUNTRY","PROGRAM_NAME","PROGRAM_CODE","YEAR","SITE_CODE","SITE_NAME","LAT","LON","WATER_DEPTH","SOURCES","COUNTRY_CODE"
"20",94001342,"","","Colombia (Atlantic)","Sistema Nacionalde Monitoreo de Arrecifes Coralinos en  Colombia","SIMAC","2002, 2003","","Minalta",9.79058361053467,-75.92339,"6","Jaime Garzon-Ferreira, jgarzon@invemar.org.co","COL_ATL"
"21",94001334,"","","Colombia (Atlantic)","Sistema Nacionalde Monitoreo de Arrecifes Coralinos en  Colombia","SIMAC","1998, 1999, 2001, 2002","","Pavitos",10.1748609542847,-75.77064,"18","Jaime Garzon-Ferreira, jgarzon@invemar.org.co","COL_ATL"
"22",94001339,"","","Colombia (Atlantic)","Sistema Nacionalde Monitoreo de Arrecifes Coralinos en  Colombia","SIMAC","1998, 1999, 2000, 2001, 2002","","Punta Betín",11.2538890838623,-74.22305,"12","Jaime Garzon-Ferreira, jgarzon@invemar.org.co","COL_ATL"
"23",94001338,"","","Colombia (Atlantic)","Sistema Nacionalde Monitoreo de Arrecifes Coralinos en  Colombia","SIMAC","","","San Felipe",13.3655166625977,-81.40479,"12","Jaime Garzon-Ferreira, jgarzon@invemar.org.co","COL_ATL"
"24",94001333,"","","Colombia (Atlantic)","Sistema Nacionalde Monitoreo de Arrecifes Coralinos en  Colombia","SIMAC","1998, 1999, 2001, 2002","","Tesoro",10.2341947555542,-75.74644,"18","Jaime Garzon-Ferreira, jgarzon@invemar.org.co","COL_ATL"
"25",94001343,"","","Colombia (Atlantic)","Sistema Nacionalde Monitoreo de Arrecifes Coralinos en  Colombia","SIMAC","2002, 2003","","Tiosolda",9.82194423675537,-75.89083,"12","Jaime Garzon-Ferreira, jgarzon@invemar.org.co","COL_ATL"
"26",94001335,"","","Colombia (Atlantic)","Sistema Nacionalde Monitoreo de Arrecifes Coralinos en  Colombia","SIMAC","1998, 1999, 2000,  2001, 2002","","Wildlife",12.718879699707,-81.97472,"18","Jaime Garzon-Ferreira, jgarzon@invemar.org.co","COL_ATL"
"27",94001332,"","","Colombia (Pacific)","Sistema Nacionalde Monitoreo de Arrecifes Coralinos en  Colombia","SIMAC","1998, 1999, 2002","","Azufrada - Gorgona",2.95000004768372,-78.16666,"12","Jaime Garzon-Ferreira, jgarzon@invemar.org.co","COL_PAC"
"28",94002391,"","","Colombia (Pacific)","Sistema Nacionalde Monitoreo de Arrecifes Coralinos en  Colombia","SIMAC","2002","","Playa Blanca",2.94040989875793,-78.19308,"12","Jaime Garzon-Ferreira, jgarzon@invemar.org.co","COL_PAC"
"29",94001331,"","","Colombia (Pacific)","Sistema Nacionalde Monitoreo de Arrecifes Coralinos en  Colombia","SIMAC","2002","","Utría -La Chola",6.01143312454224,-77.3467,"12","Jaime Garzon-Ferreira, jgarzon@invemar.org.co","COL_PAC"
"30",10002102,"","","Costa (Atlantic)","Atlantic and Gulf Rapid Reef Assessment","AGRRA","","","Cahuita Eduardo Garden ",9.73738861083984,-82.8059166666667,"","Robert Ginsburg, rginsburg@rsmas.miami.edu","CRI_ATL"
"31",10002104,"","","Costa (Atlantic)","Atlantic and Gulf Rapid Reef Assessment","AGRRA","","","Cahuita Meager Shoal - Puerto Vargas",9.72719478607178,-82.8106944444444,"","Robert Ginsburg, rginsburg@rsmas.miami.edu","CRI_ATL"
"32",10002103,"","","Costa (Atlantic)","Atlantic and Gulf Rapid Reef Assessment","AGRRA","","","Chance Mouth, Cahuita, Limón, Costa Rica",9.74763870239258,-82.8081388888889,"","Robert Ginsburg, rginsburg@rsmas.miami.edu","CRI_ATL"
"33",8004482,"","","Costa (Atlantic)","Caribbean Coastal Marine Productivity Program","CARICOMP","1999, 2000","","Cahuita and Laguna Gandoca",9.7480001449585,-82.81,"","Dulcie Linton, dmlinton@uwimona.edu.jm","CRI_ATL"
"34",9002169,"","","France","Reef Check","RC","2008","55.13.30.26E.21.2.44.03S","Bleu Marine",-21.0455555555556,55.2250833333333,"","Reef Check Foundation, rcdata@reefcheck.org","FRA"
"35",9002091,"","","France","Reef Check","RC","2005,2006","45.02.33E.12.41.16S","Boa Sadia Reef",-12.686,45.0388333333333,"","Reef Check Foundation, rcdata@reefcheck.org","FRA"
"36",9002170,"","","France","Reef Check","RC","2007","55.14.17.37E.21.1.5.64S","Cap la Houssaye",-21.0182222222222,55.2381666666667,"","Reef Check Foundation, rcdata@reefcheck.org","FRA"
"37",9002171,"","","France","Reef Check","RC","2008","55.14.38.8E.21.0.20.6S","Cap la Houssaye",-21.0057222222222,55.2441111111111,"","Reef Check Foundation, rcdata@reefcheck.org","FRA"
"38",9002174,"","","France","Reef Check","RC","2008","55.20.4.5E.21.15.33.2S","Etang sale Sud",-21.2592222222222,55.3345833333333,"","Reef Check Foundation, rcdata@reefcheck.org","FRA"
"39",9002034,"","","France","Reef Check","RC","2002","40.20.438E.22.20.23S","Europa-meteo",-22.3371666666667,40.3406388888889,"","Reef Check Foundation, rcdata@reefcheck.org","FRA"
"40",9002165,"","","France","Reef Check","RC","2008","55.12.57.7E.21.2.23S","Grand Fond",-21.0397222222222,55.2160277777778,"","Reef Check Foundation, rcdata@reefcheck.org","FRA"
"41",9002279,"","","France","Reef Check","RC","2008","63.0.36.4W.18.4.16.5N","Le Gallion Bowl",18.07125,-63.0101111111111,"","Reef Check Foundation, rcdata@reefcheck.org","FRA"
"42",9002092,"","","France","Reef Check","RC","2004","45.09.95E.12.42.60S","Longoni",-12.71,45.1658333333333,"","Reef Check Foundation, rcdata@reefcheck.org","FRA"
"43",9002093,"","","France","Reef Check","RC","2003,2005,2007","45.10.0E.12.34.0S","Longoni Reef",-12.5666666666667,45.1666666666667,"","Reef Check Foundation, rcdata@reefcheck.org","FRA"
"44",9002167,"","","France","Reef Check","RC","2008","55.13.10.5E.21.4.22.7S","Novotel",-21.0729722222222,55.2195833333333,"","Reef Check Foundation, rcdata@reefcheck.org","FRA"
"45",9002095,"","","France","Reef Check","RC","2004,2005,2007","45.16.271E.12.51.855S","Passe en S- Bouee 2",-12.86425,45.2711944444444,"","Reef Check Foundation, rcdata@reefcheck.org","FRA"
"46",9002094,"","","France","Reef Check","RC","2003,2004,2006,2007","45.16.11E.12.52.11S","Passe en S, bouee 11",-12.8697222222222,45.2697222222222,"","Reef Check Foundation, rcdata@reefcheck.org","FRA"
"47",9002172,"","","France","Reef Check","RC","2003,2004,2005,2006,2007,2008","55.17.05.1E.21.09.50.6S","Spot de Saint-Leu",-21.1640555555556,55.28475,"","Reef Check Foundation, rcdata@reefcheck.org","FRA"
"48",9002168,"","","France","Reef Check","RC","2003,2004,2005,2006,2007,2008","55.13.17.8E.21.13.17.8S","Spot del'Hermitage",-21.2216111111111,55.2216111111111,"","Reef Check Foundation, rcdata@reefcheck.org","FRA"
"49",9002173,"","","France","Reef Check","RC","2003,2004,2005,2006,2007,2008","55.19.39.6E.21.15.51.8S","Spot Etang Sale",-21.2643888888889,55.3276666666667,"","Reef Check Foundation, rcdata@reefcheck.org","FRA"
"50",9002166,"","","France","Reef Check","RC","2008","55.13.0.1E.21.2.40.01S","Spot Perroquet",-21.0444444444444,55.2166944444444,"","Reef Check Foundation, rcdata@reefcheck.org","FRA"
"51",8000968,"","","Grand Cayman","Caribbean Coastal Marine Productivity Program","CARICOMP","1995, 1997, 2000","","Grand Cayman 19N083W0001",19.3166694641113,-81.23333,"","Dulcie Linton, dmlinton@uwimona.edu.jm","CYM_GRA"
"52",25002383,"","","Gulf of Mannar","Status Survey of Coral Reefs - India","SSCR-IND","","","Anaiput thivu",9.14999961853027,78.702,"","Dr. K. Venkataraman, dugong@md2.vsnl.net.id, venkyszi@hotmail.com","IND_MAN"
"53",25002380,"","","Gulf of Mannar","Status Survey of Coral Reefs - India","SSCR-IND","","","Appa thivu",9.14500045776367,78.83,"","Dr. K. Venkataraman, dugong@md2.vsnl.net.id, venkyszi@hotmail.com","IND_MAN"
"54",25002388,"","","Gulf of Mannar","Status Survey of Coral Reefs - India","SSCR-IND","","","Karaichalli thivu",8.94999980926514,78.257,"","Dr. K. Venkataraman, dugong@md2.vsnl.net.id, venkyszi@hotmail.com","IND_MAN"
"55",25002389,"","","Gulf of Mannar","Status Survey of Coral Reefs - India","SSCR-IND","","","Kasuwar island",8.88000011444092,78.204,"","Dr. K. Venkataraman, dugong@md2.vsnl.net.id, venkyszi@hotmail.com","IND_MAN"
"56",25002371,"","","Gulf of Mannar","Status Survey of Coral Reefs - India","SSCR-IND","","","Krusadai Island",9.24199962615967,79.223,"","Dr. K. Venkataraman, dugong@md2.vsnl.net.id, venkyszi@hotmail.com","IND_MAN"
"57",25002375,"","","Gulf of Mannar","Status Survey of Coral Reefs - India","SSCR-IND","","","Manoli thivu",9.29599952697754,79.097,"","Dr. K. Venkataraman, dugong@md2.vsnl.net.id, venkyszi@hotmail.com","IND_MAN"
"58",25002374,"","","Gulf of Mannar","Status Survey of Coral Reefs - India","SSCR-IND","","","Manoliputti thivu",9.20199966430664,79.128,"","Dr. K. Venkataraman, dugong@md2.vsnl.net.id, venkyszi@hotmail.com","IND_MAN"
"59",25002377,"","","Gulf of Mannar","Status Survey of Coral Reefs - India","SSCR-IND","","","Mullai thivu",9.17899990081787,78.963,"","Dr. K. Venkataraman, dugong@md2.vsnl.net.id, venkyszi@hotmail.com","IND_MAN"
"60",25002376,"","","Gulf of Mannar","Status Survey of Coral Reefs - India","SSCR-IND","","","Muyal thivu",9.19099998474121,79.077,"","Dr. K. Venkataraman, dugong@md2.vsnl.net.id, venkyszi@hotmail.com","IND_MAN"
"61",25002384,"","","Gulf of Mannar","Status Survey of Coral Reefs - India","SSCR-IND","","","Nallathanni thivu",9.09799957275391,78.593,"","Dr. K. Venkataraman, dugong@md2.vsnl.net.id, venkyszi@hotmail.com","IND_MAN"
"62",25002373,"","","Gulf of Mannar","Status Survey of Coral Reefs - India","SSCR-IND","","","Poonarichan Thivu",9.22900009155273,79.294,"","Dr. K. Venkataraman, dugong@md2.vsnl.net.id, venkyszi@hotmail.com","IND_MAN"
"63",25002381,"","","Gulf of Mannar","Status Survey of Coral Reefs - India","SSCR-IND","","","Poovarasanpatti thivu",9.15900039672852,78.752,"","Dr. K. Venkataraman, dugong@md2.vsnl.net.id, venkyszi@hotmail.com","IND_MAN"
"64",25002372,"","","Gulf of Mannar","Status Survey of Coral Reefs - India","SSCR-IND","","","Pullvasal thivu",9.23900032043457,79.202,"","Dr. K. Venkataraman, dugong@md2.vsnl.net.id, venkyszi@hotmail.com","IND_MAN"
"65",25002385,"","","Gulf of Mannar","Status Survey of Coral Reefs - India","SSCR-IND","","","Puzhuvunnichalli thivu",9.09200000762939,78.541,"","Dr. K. Venkataraman, dugong@md2.vsnl.net.id, venkyszi@hotmail.com","IND_MAN"
"66",25002370,"","","Gulf of Mannar","Status Survey of Coral Reefs - India","SSCR-IND","","","Shingle Island",9.23299980163574,79.236,"","Dr. K. Venkataraman, dugong@md2.vsnl.net.id, venkyszi@hotmail.com","IND_MAN"
"67",25002379,"","","Gulf of Mannar","Status Survey of Coral Reefs - India","SSCR-IND","","","Thaiaiyari thivu",9.16899967193604,78.916,"","Dr. K. Venkataraman, dugong@md2.vsnl.net.id, venkyszi@hotmail.com","IND_MAN"
"68",25002386,"","","Gulf of Mannar","Status Survey of Coral Reefs - India","SSCR-IND","","","Upputhanni thivu",9.07999992370605,78.5,"","Dr. K. Venkataraman, dugong@md2.vsnl.net.id, venkyszi@hotmail.com","IND_MAN"
"69",25002382,"","","Gulf of Mannar","Status Survey of Coral Reefs - India","SSCR-IND","","","Vallimunai thivu",9.1540002822876,78.73,"","Dr. K. Venkataraman, dugong@md2.vsnl.net.id, venkyszi@hotmail.com","IND_MAN"
"70",25002390,"","","Gulf of Mannar","Status Survey of Coral Reefs - India","SSCR-IND","","","Van thivu",8.82999992370605,78.2166,"","Dr. K. Venkataraman, dugong@md2.vsnl.net.id, venkyszi@hotmail.com","IND_MAN"
"71",25002378,"","","Gulf of Mannar","Status Survey of Coral Reefs - India","SSCR-IND","","","Velai Thivu",9.17099952697754,78.945,"","Dr. K. Venkataraman, dugong@md2.vsnl.net.id, venkyszi@hotmail.com","IND_MAN"
"72",25002387,"","","Gulf of Mannar","Status Survey of Coral Reefs - India","SSCR-IND","","","Velanguvhalli thivu",8.91600036621094,78.25,"","Dr. K. Venkataraman, dugong@md2.vsnl.net.id, venkyszi@hotmail.com","IND_MAN"
"73",97001751,"","","Mexico (Pacific)","Programa de Monitoreo de Arrecifes del Pacífico Mejicano","PMAPM","1995, 1996, 1997, 1998, 1999, 2000, 2001","","Caletitas",20.5577697753906,-105.474166,"25","","MEX_PAC"
"74",97001752,"","","Mexico (Pacific)","Programa de Monitoreo de Arrecifes del Pacífico Mejicano","PMAPM","1995, 1996, 1997, 1998, 1999, 2000, 2001, 2003","","Careyeros",20.8349990844727,-105.53,"14","","MEX_PAC"
"75",97001753,"","","Mexico (Pacific)","Programa de Monitoreo de Arrecifes del Pacífico Mejicano","PMAPM","1998, 1999, 2000, 2001","","Chamela",19.6205558776855,-105.2011,"12","","MEX_PAC"
"76",97001765,"","","Mexico (Pacific)","Programa de Monitoreo de Arrecifes del Pacífico Mejicano","PMAPM","1995, 1996, 1997, 1998, 1999, 2000, 2001, 2003","","Chimo",20.5166606903076,-105.75444,"26","","MEX_PAC"
"77",97001754,"","","Mexico (Pacific)","Programa de Monitoreo de Arrecifes del Pacífico Mejicano","PMAPM"," 1998, 1999, 2000, 2001","","Chimo-Las Iglesias",20.5166606903076,-105.75277,"21","","MEX_PAC"
"78",97001755,"","","Mexico (Pacific)","Programa de Monitoreo de Arrecifes del Pacífico Mejicano","PMAPM","1998, 1999, 2000, 2001, 2003","","Guayabitos",21.1941661834717,-105.309166,"14","","MEX_PAC"
"79",97001756,"","","Mexico (Pacific)","Programa de Monitoreo de Arrecifes del Pacífico Mejicano","PMAPM","2002, 2003","","Isla Isabel ",21.9322204589844,-105.894166,"20","","MEX_PAC"
"80",97001757,"","","Mexico (Pacific)","Programa de Monitoreo de Arrecifes del Pacífico Mejicano","PMAPM","1995, 1996, 1997, 1998, 1999, 2000, 2001","","Isla Larga",20.8222007751465,-105.6,"25","","MEX_PAC"
"81",97001758,"","","Mexico (Pacific)","Programa de Monitoreo de Arrecifes del Pacífico Mejicano","PMAPM","1995, 1996, 1997, 1998, 1999, 2000, 2001, 2003","","Isla Redonda ",20.7655506134033,-105.698333,"25","","MEX_PAC"
"82",97001759,"","","Mexico (Pacific)","Programa de Monitoreo de Arrecifes del Pacífico Mejicano","PMAPM","2000, 2001","","La Corbeteña ",20.8716602325439,-105.916111,"27","","MEX_PAC"
"83",97001760,"","","Mexico (Pacific)","Programa de Monitoreo de Arrecifes del Pacífico Mejicano","PMAPM","1995, 1996, 1997, 1998, 1999, 2000, 2001, 2003","","Los Arcos ",20.5911102294922,-105.3363,"25","","MEX_PAC"
"84",97001761,"","","Mexico (Pacific)","Programa de Monitoreo de Arrecifes del Pacífico Mejicano","PMAPM","1996, 1997, 1998, 1999, 2000, 2001","","Paraiso Escondido ",20.7655506134033,-105.698333,"7","","MEX_PAC"
"85",97001762,"","","Mexico (Pacific)","Programa de Monitoreo de Arrecifes del Pacífico Mejicano","PMAPM","1995, 1996, 1997, 1999, 2000, 2001","","Punta Mita",20.8638801574707,-105.55,"8","","MEX_PAC"
"86",97001763,"","","Mexico (Pacific)","Programa de Monitoreo de Arrecifes del Pacífico Mejicano","PMAPM","1998, 1999, 2000, 2001, 2003","","Tenacatita",19.4027767181396,-104.936111,"7","","MEX_PAC"
"87",97001764,"","","Mexico (Pacific)","Programa de Monitoreo de Arrecifes del Pacífico Mejicano","PMAPM","1995, 1996, 1997, 1998, 1999, 2000, 2001","","Yelapa",20.5776996612549,-105.50555,"25","","MEX_PAC"
"88",8000981,"","","Nicaragua (Atlantic)","Caribbean Coastal Marine Productivity Program","CARICOMP","1993, 1995, 1997, 1998","","Great Corn Island ( Isla del Maiz Grande ) 12N083W0008",12.1000003814697,-83.01667,"15","Dulcie Linton, dmlinton@uwimona.edu.jm","NIC_ATL"
"89",122002514,"Africa","Eastern Africa","Indian Ocean Islands (France)","Knowledge and Monitoring of Shallow Marine Ecosystem of the FSIOT (French Scattered Indian Ocean Territories) 2002-2005","KMSME-FSIOT","2002","","Europa",-22.4549999237061,40.397222,"","Jean Pascal Quod, jpquod.arvam@wanadoo.fr","FRA_SCA"
"90",122002510,"Africa","Eastern Africa","Indian Ocean Islands (France)","Knowledge and Monitoring of Shallow Marine Ecosystem of the FSIOT (French Scattered Indian Ocean Territories) 2002-2005","KMSME-FSIOT","2002","","Glorieuses 1",-11.7369403839111,47.365,"","Jean Pascal Quod, jpquod.arvam@wanadoo.fr","FRA_SCA"
"91",122002511,"Africa","Eastern Africa","Indian Ocean Islands (France)","Knowledge and Monitoring of Shallow Marine Ecosystem of the FSIOT (French Scattered Indian Ocean Territories) 2002-2005","KMSME-FSIOT","2002","","Glorieuses 2",-11.8111000061035,47.50611,"","Jean Pascal Quod, jpquod.arvam@wanadoo.fr","FRA_SCA"
"92",122002512,"Africa","Eastern Africa","Indian Ocean Islands (France)","Knowledge and Monitoring of Shallow Marine Ecosystem of the FSIOT (French Scattered Indian Ocean Territories) 2002-2005","KMSME-FSIOT","2002","","Glorieuses 3",-11.744722366333,47.45,"","Jean Pascal Quod, jpquod.arvam@wanadoo.fr","FRA_SCA"
"93",122002513,"Africa","Eastern Africa","Indian Ocean Islands (France)","Knowledge and Monitoring of Shallow Marine Ecosystem of the FSIOT (French Scattered Indian Ocean Territories) 2002-2005","KMSME-FSIOT","2002","","Glorieuses 4",-11.7177696228027,47.3233,"","Jean Pascal Quod, jpquod.arvam@wanadoo.fr","FRA_SCA"
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",9002033,"Africa","Eastern Africa","Kenya","Reef Check","RC","2004","40.08.42.6E.3.15.32.6S","Lobster Malindi",-3.25905555555556,40.1451666666667,"","Reef Check Foundation, rcdata@reefcheck.org","KEN"
"96",9002048,"Africa","Eastern Africa","Kenya","Reef Check","RC","2003","40.9E.3.15S","Malindi Barracuda Channel",-3.25,40.15,"","Reef Check Foundation, rcdata@reefcheck.org","KEN"
"97",9002046,"Africa","Eastern Africa","Kenya","Reef Check","RC","2003","40.8.30.4E.3.15.32.9S","Malindi Coral Garden",-3.25913888888889,40.1417777777778,"","Reef Check Foundation, rcdata@reefcheck.org","KEN"
"98",9002047,"Africa","Eastern Africa","Kenya","Reef Check","RC","2003","40.8E.3.16S","Malindi North Reef",-3.26666666666667,40.1333333333333,"","Reef Check Foundation, rcdata@reefcheck.org","KEN"
"99",9002049,"Africa","Eastern Africa","Kenya","Reef Check","RC","2003","40.9E.3.16S","Malindi North Reef",-3.26666666666667,40.15,"","Reef Check Foundation, rcdata@reefcheck.org","KEN"
"100",9002045,"Africa","Eastern Africa","Kenya","Reef Check","RC","2004","40.8.2.9E.3.15.46S","Navy Malindi",-3.26277777777778,40.1341388888889,"","Reef Check Foundation, rcdata@reefcheck.org","KEN"
"101",37,"Africa","Eastern Africa","Kenya","Socioeconomic","SOCMON","","23","Diani",-4.2949,39.5875,"","","KEN"
"102",38,"Africa","Eastern Africa","Kenya","Socioeconomic","SOCMON","","24","Msambweni",4.46667,39.4833,"","Mr. Muturi & Assistant Director, Mr. Godfrey Monor","KEN"
"103",19002473,"Africa","Eastern Africa","Kenya","Wildlife Conservation Society-Marine Program","WCS","","","Diani/Moana #1",-4.30999994277954,39.59,"","Tim McClanahan, crcp@africaonline.co.ke","KEN"
"104",19002474,"Africa","Eastern Africa","Kenya","Wildlife Conservation Society-Marine Program","WCS","","","Diani/Moana #2",-4.30999994277954,39.59,"","Tim McClanahan, crcp@africaonline.co.ke","KEN"
"105",19002467,"Africa","Eastern Africa","Kenya","Wildlife Conservation Society-Marine Program","WCS","","","Kanamai #1",-3.92000007629395,39.8,"","Tim McClanahan, crcp@africaonline.co.ke","KEN"
"106",19002468,"Africa","Eastern Africa","Kenya","Wildlife Conservation Society-Marine Program","WCS","","","Kanamai #2",-3.92000007629395,39.8,"","Tim McClanahan, crcp@africaonline.co.ke","KEN"
"107",19002482,"Africa","Eastern Africa","Kenya","Wildlife Conservation Society-Marine Program","WCS","","","Kijamba",-4.23999977111816,39.62,"","Tim McClanahan, crcp@africaonline.co.ke","KEN"
"108",19002475,"Africa","Eastern Africa","Kenya","Wildlife Conservation Society-Marine Program","WCS","","","Kisite #1",-4.71000003814697,39.36,"","Tim McClanahan, crcp@africaonline.co.ke","KEN"
"109",19002476,"Africa","Eastern Africa","Kenya","Wildlife Conservation Society-Marine Program","WCS","","","Kisite #2",-4.71000003814697,39.36,"","Tim McClanahan, crcp@africaonline.co.ke","KEN"
"110",19002477,"Africa","Eastern Africa","Kenya","Wildlife Conservation Society-Marine Program","WCS","","","Kisite #3",-4.71000003814697,39.36,"","Tim McClanahan, crcp@africaonline.co.ke","KEN"
"111",19002478,"Africa","Eastern Africa","Kenya","Wildlife Conservation Society-Marine Program","WCS","","","Kisite #4",-4.71000003814697,39.36,"","Tim McClanahan, crcp@africaonline.co.ke","KEN"
"112",19002483,"Africa","Eastern Africa","Kenya","Wildlife Conservation Society-Marine Program","WCS","","","Makonde",-4.23999977111816,39.62,"","Tim McClanahan, crcp@africaonline.co.ke","KEN"
"113",19002462,"Africa","Eastern Africa","Kenya","Wildlife Conservation Society-Marine Program","WCS","","","Malindi  #1",-3.25999999046326,40.14,"","Tim McClanahan, crcp@africaonline.co.ke","KEN"
"114",19002463,"Africa","Eastern Africa","Kenya","Wildlife Conservation Society-Marine Program","WCS","","","Malindi #2",-3.25999999046326,40.14,"","Tim McClanahan, crcp@africaonline.co.ke","KEN"
"115",19002481,"Africa","Eastern Africa","Kenya","Wildlife Conservation Society-Marine Program","WCS","","","Meca",-4.23999977111816,39.62,"","Tim McClanahan, crcp@africaonline.co.ke","KEN"
"116",19002469,"Africa","Eastern Africa","Kenya","Wildlife Conservation Society-Marine Program","WCS","","","Mombasa #1",-4.09000015258789,39.69,"","Tim McClanahan, crcp@africaonline.co.ke","KEN"
"117",19002470,"Africa","Eastern Africa","Kenya","Wildlife Conservation Society-Marine Program","WCS","","","Mombasa #2",-4.09000015258789,39.69,"","Tim McClanahan, crcp@africaonline.co.ke","KEN"
"118",19002480,"Africa","Eastern Africa","Kenya","Wildlife Conservation Society-Marine Program","WCS","","","Mworombo",-4.23999977111816,39.62,"","Tim McClanahan, crcp@africaonline.co.ke","KEN"
"119",19002479,"Africa","Eastern Africa","Kenya","Wildlife Conservation Society-Marine Program","WCS","","","Nyali",-4.05999994277954,39.72,"","Tim McClanahan, crcp@africaonline.co.ke","KEN"
