"","ID","REGION","SUBREGION","COUNTRY","SITE_CODE","IUCNCAT_CODE","LAT","LON","YEAR_ESTABLISH","TYPE","CODE","NAME","MARINE_EXISTING","LITTORAL_EXISTING","CORAL_EXISTING","REEF_AREA_SIZE","SEAGRASS_EXISTING","MANGROVE_EXISTING","COUNTRY_CODE"
"13",769,"Africa","Eastern Africa","Kenya",2417,"VI",-1.598952,41.30087,1976,"National Reserve","NaR","Boni",0,1,0,133900,0,0,"KEN"
"14",661,"Africa","Eastern Africa","Kenya",7423,"VI",-4.337042,39.590865,1993,"Marine National Reserve","MNaR","Diani",1,1,1,7500,0,1,"KEN"
"15",762,"Africa","Eastern Africa","Kenya",2591,"VI",-1.844976,41.12919,1976,"National Reserve","NaR","Dodori",0,1,0,87739,0,1,"KEN"
"16",646,"Africa","Eastern Africa","Kenya",763,"II",-4.714003,39.362465,1978,"Marine National Park","MNP","Kisite",1,1,1,2800,0,0,"KEN"
"17",736,"Africa","Eastern Africa","Kenya",3038,"VI",-1.945282,41.214438,1979,"Marine National Reserve","MNaR","Kiunga",1,1,1,25000,0,1,"KEN"
"18",700,"Africa","Eastern Africa","Kenya",765,"II",-3.255604,40.143339,1968,"Marine National Park","MNP","Malindi",1,1,1,630,1,1,"KEN"
"19",694,"Africa","Eastern Africa","Kenya",2594,"VI",-3.333056,40.066944,1968,"Marine National Reserve","MNaR","Malindi-Watamu",1,1,1,17700,1,1,"KEN"
"20",672,"Africa","Eastern Africa","Kenya",12345,"VI",-4.060541,39.777926,1986,"Marine National Reserve","MNaR","Mombasa",1,1,1,20000,0,1,"KEN"
"21",674,"Africa","Eastern Africa","Kenya",14013,"II",-3.986343,39.761507,1986,"Marine National Park","MNP","Mombasa",1,1,1,1000,0,1,"KEN"
"22",648,"Africa","Eastern Africa","Kenya",19568,"VI",-4.692143,39.409538,1978,"Marine National Reserve","MNaR","Mpunguti",1,0,1,1100,0,0,"KEN"
"23",675,"Africa","Eastern Africa","Kenya",7676,"Unknown",-3.958644,39.51654,1938,"Forest Reserve","FoR","Mwachi",0,1,0,381,0,1,"KEN"
"24",692,"Africa","Eastern Africa","Kenya",19566,"II",-3.385354,39.98955,1968,"Marine National Park","MNP","Watamu",1,1,1,12500,0,1,"KEN"
"25",285,"Africa","Eastern Africa","Mozambique",802,"II",-21.716667,35.433333,1971,"National Park","NP","Bazaruto",1,1,1,15000,1,1,"MOZ"
"26",157,"Africa","Eastern Africa","Mozambique",7937,"IV",-26.049999,32.950001,1965,"Faunal Reserve","FR","Ilhas da Inhaca e dos Portugueses",1,1,1,2000,1,1,"MOZ"
"27",150,"Africa","Eastern Africa","Mozambique",4652,"IV",-26.421,32.806999,1969,"Game Reserve","GR","Maputo",0,1,0,90000,0,1,"MOZ"
"28",346,"Africa","Eastern Africa","Mozambique",4649,"IV",-19,35,1969,"Game Reserve","GR","Marromeu",1,1,0,1000000,1,1,"MOZ"
"29",238,"Africa","Eastern Africa","Mozambique",4653,"IV",-23,35,1972,"Game Reserve","GR","Pomene",1,1,0,10000,0,1,"MOZ"
"30",347,"Africa","Eastern Africa","Mozambique",7935,"VI",-19,35,1981,"Wildlife Utilization Area","WUA","Zambezi",1,1,0,1000000,1,1,"MOZ"
"31",781,"Africa","Eastern Africa","Somalia",13710,"VI",-1.35,41.3,1969,"Game Reserve","GR","Bushbush",1,1,1,334000,0,1,"SOM"
"32",782,"Africa","Eastern Africa","Somalia",13714,"Unknown",-1.35,41.3,1969,"Controlled Hunting Area","CHA","Bushbush",1,1,0,0,0,0,"SOM"
"33",780,"Africa","Eastern Africa","Somalia",872,"Unknown",-1.375004,41.57755,0,"National Park","NP","Lag Badana-Bushbush",1,1,1,334000,0,1,"SOM"
"34",105,"Africa","Eastern Africa","South Africa",26045,"IV",-29.783333,31.05,1977,"Nature Reserve","NR","Beachwood Mangroves",0,1,0,76,0,1,"ZAF"
"35",15,"Africa","Eastern Africa","South Africa",32827,"IV",-34.533333,20.5,1986,"Marine Reserve","MR","De Hoop",1,1,0,23000,0,0,"ZAF"
"36",16,"Africa","Eastern Africa","South Africa",4029,"IV",-34.5,20.466667,1956,"Nature Reserve","NR","De Hoop",0,1,0,40000,0,0,"ZAF"
"37",71,"Africa","Eastern Africa","South Africa",9081,"II",-32.283292,28.815906,1975,"Wildlife Reserve","WR","Dwesa-Cwebe",0,1,0,5707,0,1,"ZAF"
"38",90,"Africa","Eastern Africa","South Africa",32930,"IV",-31.633333,18.116667,1988,"Other area","ETC","Elephant Rock",1,0,0,1,0,0,"ZAF"
"39",28,"Africa","Eastern Africa","South Africa",4026,"IV",-34.016667,22.833333,1960,"Nature Reserve","NR","Goukamma",0,1,0,2170,0,0,"ZAF"
"40",124,"Africa","Eastern Africa","South Africa",116275,"II",-28.1,32.45,1895,"Wetland Park","wp","Greater St. Lucia",1,1,1,258686,0,0,"ZAF"
"41",32,"Africa","Eastern Africa","South Africa",32952,"IV",-33.833333,18.416667,0,"Sanctuary","S","Melkbos-Houtbay Rock Lobster",1,0,0,83400,0,0,"ZAF"
"42",95,"Africa","Eastern Africa","South Africa",32449,"Unknown",-31.25,30,1977,"Wildlife Reserve","WR","Mkambati",0,1,0,6120,0,0,"ZAF"
"43",104,"Africa","Eastern Africa","South Africa",13307,"IV",-29.833333,32.016667,1935,"Nature Reserve","NR","Richards Bay",0,1,0,1200,0,0,"ZAF"
"44",23,"Africa","Eastern Africa","South Africa",32839,"IV",-34.083333,23.366667,1945,"Nature Reserve","NR","Robberg",0,1,0,170,0,0,"ZAF"
"45",66,"Africa","Eastern Africa","South Africa",32840,"IV",-32.6,18.283333,1968,"Nature Reserve","NR","Rocherpan",0,1,0,914,0,0,"ZAF"
"46",57,"Africa","Eastern Africa","South Africa",21167,"IV",-33.033333,17.966667,0,"Sanctuary","S","Saldanha Bay Rock Lobster",1,1,0,83400,0,0,"ZAF"
"47",63,"Africa","Eastern Africa","South Africa",21168,"IV",-32.75,18.05,0,"Sanctuary","S","St. Helena Bay Rock Lobster",1,1,0,14000,0,0,"ZAF"
"48",98,"Africa","Eastern Africa","South Africa",71057,"IV",-30.95,30.283333,1979,"Marine Reserve","MR","Trafalgar",1,0,0,251,0,0,"ZAF"
"49",26,"Africa","Eastern Africa","South Africa",881,"II",-34.05,23.666667,1964,"National Park","NP","Tsitsikamma",1,1,0,63942,0,0,"ZAF"
"50",114,"Africa","Eastern Africa","South Africa",26030,"IV",-28.8,31.783333,1948,"Nature Reserve","NR","Umlalazi",0,1,0,1028,0,1,"ZAF"
"51",97,"Africa","Eastern Africa","South Africa",1353,"IV",-31,30.166667,1971,"Nature Reserve","NR","Umtamvuna",0,1,0,3257,0,1,"ZAF"
"52",9,"Africa","Eastern Africa","South Africa",9070,"IV",-34.666667,19.333333,1895,"State Forest","SFo","Walker Bay",0,1,0,6734,0,0,"ZAF"
"53",52,"Africa","Eastern Africa","South Africa",17368,"II",-33.2,18.133333,1985,"National Park","NP","West Coast",1,1,0,32494,0,0,"ZAF"
"54",597,"Africa","Eastern Africa","Tanzania",35266,"II",-6.616667,39.266667,1975,"Marine Reserve","MR","Bongoyo Island",1,1,1,0,0,1,"TZA"
"55",564,"Africa","Eastern Africa","Tanzania",35268,"Unknown",-7.983056,39.6,1981,"Marine Reserve","MR","Chole Bay",1,1,1,0,0,1,"TZA"
"56",605,"Africa","Eastern Africa","Tanzania",72397,"II",-6.271,39.175833,1994,"Marine Sanctuary","MS","Chumbe Island Coral Park (CHICOP)",1,1,1,30,1,0,"TZA"
"57",599,"Africa","Eastern Africa","Tanzania",35267,"II",-6.6,39.233333,1975,"Marine Reserve","MR","Fungu Yasini",1,1,1,0,0,1,"TZA"
"58",561,"Africa","Eastern Africa","Tanzania",81037,"VI",-8.016667,39.666667,1995,"Marine Park","MP","Mafia Island",1,1,1,82200,1,1,"TZA"
"59",632,"Africa","Eastern Africa","Tanzania",12855,"II",-5.53388,39.816944,1981,"Marine Reserve","MR","Maziwi Island",1,0,1,0,0,0,"TZA"
"60",594,"Africa","Eastern Africa","Tanzania",12853,"II",-6.658333,39.25,1975,"Marine Reserve","MR","Mbudya",1,1,1,0,0,1,"TZA"
"61",603,"Africa","Eastern Africa","Tanzania",198282,"VI",-6.316667,39.316667,1997,"Conservation Area","CA","Menai Bay",1,1,1,47000,0,0,"TZA"
"62",637,"Africa","Eastern Africa","Tanzania",220233,"VI",-5.27277,39.633333,1998,"Conservation Area","CA","Misali Island",1,1,1,2158,1,1,"TZA"
"63",501,"Africa","Eastern Africa","Tanzania",220235,"VI",-10.316667,40.316667,2000,"Marine Park","MP","Mnazi Bay",1,1,1,65000,0,1,"TZA"
"64",623,"Africa","Eastern Africa","Tanzania",220234,"VI",-5.816667,39.4,1997,"Conservation Area","CA","Mnemba",1,1,1,15,0,0,"TZA"
"65",600,"Africa","Eastern Africa","Tanzania",198283,"II",-6.591667,39.238889,1975,"Marine Reserve","MR","Pangavini",1,0,1,0,0,0,"TZA"
"66",616,"Africa","Eastern Africa","Tanzania",7434,"IV",-5.988544,38.75345,1968,"Game Reserve","GR","Saadani",0,1,0,30000,0,1,"TZA"
"67",557,"Africa","Eastern Africa","Tanzania",35269,"Unknown",-8.116944,39.65,1981,"Marine Reserve","MR","Tutia Island",1,1,1,0,0,1,"TZA"
"68",433,"Africa","Southwest Indian Ocean","Madagascar",2311,"Ia",-13.406,48.314999,1927,"Strict Nature Reserve","SNR","Lokobe",0,1,0,740,0,0,"MDG"
"69",401,"Africa","Southwest Indian Ocean","Madagascar",26072,"II",-16.316999,49.849998,1989,"National Park","NP","Mananara Marine",1,1,1,1000,0,1,"MDG"
"70",326,"Africa","Southwest Indian Ocean","Mauritius",9159,"Unknown",-20.07909,57.5107,0,"Marine National Park","MNP","Baie de l'Arsenal Marine National Park",1,1,1,100,1,0,"MUS"
"71",317,"Africa","Southwest Indian Ocean","Mauritius",9158,"IV",-20.364,57.355,1983,"Fishing Reserve","FiR","Black River",1,1,1,900,0,1,"MUS"
"72",328,"Africa","Southwest Indian Ocean","Mauritius",5052,"IV",-19.938,57.612999,1970,"Nature Reserve","NR","Coin de Mire (Gunner's Quoin)",0,1,0,76,0,0,"MUS"
"73",325,"Africa","Southwest Indian Ocean","Mauritius",9155,"IV",-20.142,57.743,1983,"Fishing Reserve","FiR","Flacq",1,1,1,600,1,1,"MUS"
"74",315,"Africa","Southwest Indian Ocean","Mauritius",9157,"IV",-20.367001,57.700001,1983,"Fishing Reserve","FiR","Grand Port - Mahebourg",1,1,1,2200,0,1,"MUS"
"75",314,"Africa","Southwest Indian Ocean","Mauritius",5054,"IV",-20.417,57.726002,1965,"Nature Reserve","NR","Ile aux Aigrettes",1,1,0,25,0,0,"MUS"
"76",335,"Africa","Southwest Indian Ocean","Mauritius",5055,"IV",-19.716999,63.283001,1981,"Nature Reserve","NR","Ile aux Cocos",0,1,0,15,0,0,"MUS"
"77",336,"Africa","Southwest Indian Ocean","Mauritius",5056,"IV",-19.700001,63.299999,1981,"Nature Reserve","NR","Ile aux Sables",0,1,0,8,0,0,"MUS"
"78",332,"Africa","Southwest Indian Ocean","Mauritius",9152,"Ia",-19.815001,57.799,1983,"Nature Reserve","NR","Ile aux Serpents",0,1,0,31,0,0,"MUS"
"79",330,"Africa","Southwest Indian Ocean","Mauritius",5051,"IV",-19.874001,57.648998,1972,"Nature Reserve","NR","Ile Plate (Flat Island)",1,1,0,253,0,0,"MUS"
"80",331,"Africa","Southwest Indian Ocean","Mauritius",1305,"IV",-19.848,57.780998,1957,"Nature Reserve","NR","Ile Ronde (Round Island)",0,1,0,159,0,0,"MUS"
"81",329,"Africa","Southwest Indian Ocean","Mauritius",5050,"IV",-19.882999,57.665001,1972,"Nature Reserve","NR","Ilot Gabriel",0,1,0,42,0,0,"MUS"
"82",316,"Africa","Southwest Indian Ocean","Mauritius",5053,"IV",-20.367001,57.783001,1972,"Nature Reserve","NR","Ilot Marianne",1,1,0,2,0,0,"MUS"
"83",324,"Africa","Southwest Indian Ocean","Mauritius",9153,"IV",-20.148001,57.476002,1983,"Fishing Reserve","FiR","Port Louis",1,0,1,500,1,0,"MUS"
"84",327,"Africa","Southwest Indian Ocean","Mauritius",9154,"IV",-20.069,57.707001,1983,"Fishing Reserve","FiR","Riviere du Rampart - Poudre d'Or",1,1,1,3500,0,1,"MUS"
"85",321,"Africa","Southwest Indian Ocean","Mauritius",9156,"IV",-20.257999,57.791,1983,"Fishing Reserve","FiR","Trou d'Eau Douce Fir",1,1,1,700,1,1,"MUS"
"86",322,"Africa","Southwest Indian Ocean","Mauritius",9156,"IV",-20.257999,57.791,1983,"Fishing Reserve","FiR","Trou d'Eau Douce Fir",1,1,1,700,1,1,"MUS"
"87",438,"Africa","Southwest Indian Ocean","Mayotte",29794,"VI",-12.85,45.25,1990,"Strict Fishing Reserve","SFiR","Passe de Longogori",1,1,1,450,0,0,"MYT"
"88",436,"Africa","Southwest Indian Ocean","Mayotte",29798,"II",-12.967,45.200001,1991,"Park","P","Saziley",1,1,1,4180,0,0,"MYT"
"89",296,"Africa","Southwest Indian Ocean","Réunion",220232,"VI",-21.25,55.233333,1998,"Marine Park","MP","Cap la Houssaye - Saint Joseph",1,0,1,0,0,0,"REU"
"90",307,"Africa","Southwest Indian Ocean","Réunion",19778,"VI",-21,55.233333,1978,"Fishing Reserve","FiR","Cap la Houssaye-Ravine Trois Bassins",1,0,1,0,1,0,"REU"
"91",402,"Africa","Southwest Indian Ocean","Réunion",11736,"IV",-16,54,1975,"Nature Reserve","NR","Ile Tromelin",1,1,1,0,0,0,"REU"
"92",510,"Africa","Southwest Indian Ocean","Réunion",11737,"IV",-10,48,1975,"Nature Reserve","NR","Iles Glorieuses",1,1,1,0,1,0,"REU"
"93",293,"Africa","Southwest Indian Ocean","Réunion",11739,"IV",-21.45637,40,1975,"Nature Reserve","NR","Ilot de Bassas Da India",1,1,1,0,0,1,"REU"
"94",269,"Africa","Southwest Indian Ocean","Réunion",11738,"IV",-22.32882,40,1975,"Nature Reserve","NR","Ilot d'Europa",1,1,1,0,1,1,"REU"
"95",383,"Africa","Southwest Indian Ocean","Réunion",220237,"IV",-17.05,42.733333,1975,"Nature Reserve","NR","Juan de Nova",1,0,1,0,0,0,"REU"
"96",297,"Africa","Southwest Indian Ocean","Réunion",71044,"VI",-21.25,55.35,1992,"Fishing Reserve","FiR","L'Etang",1,0,1,0,0,0,"REU"
"97",299,"Africa","Southwest Indian Ocean","Réunion",71045,"VI",-21.15,55.316667,1992,"Fishing Reserve","FiR","Saint-Leu",1,0,1,0,0,0,"REU"
"98",295,"Africa","Southwest Indian Ocean","Réunion",71048,"VI",-21.316667,55.483333,1992,"Fishing Reserve","FiR","Saint-Pierre",1,0,1,0,0,0,"REU"
"99",303,"Africa","Southwest Indian Ocean","Réunion",71046,"VI",-21.066667,55.225,1992,"Fishing Reserve","FiR","Saline l'Hermitage (lagoon)",1,0,1,0,0,0,"REU"
"100",304,"Africa","Southwest Indian Ocean","Réunion",71047,"VI",-21.066667,55.216667,1992,"Fishing Reserve","FiR","Saline l'Hermitage (Reef)",1,0,1,0,0,0,"REU"
"101",518,"Africa","Southwest Indian Ocean","Seychelles",1342,"Ia",-9.418707,46.343485,1981,"Special Nature Reserve","SpNR","Aldabra",1,1,1,35000,0,1,"SYC"
"102",667,"Africa","Southwest Indian Ocean","Seychelles",6941,"Ia",-4.206,55.667,1973,"Special Nature Reserve","SpNR","Aride Island",1,1,1,70,0,0,"SYC"
"103",653,"Africa","Southwest Indian Ocean","Seychelles",9141,"II",-4.635478,55.375047,1979,"Marine National Park","MNP","Baie Ternaie",1,1,1,80,0,0,"SYC"
"104",663,"Africa","Southwest Indian Ocean","Seychelles",6939,"Ia",-4.329117,55.663514,1975,"Special Nature Reserve","SpNR","Cousin Island",1,1,1,28,0,1,"SYC"
"105",666,"Africa","Southwest Indian Ocean","Seychelles",7391,"II",-4.288912,55.73002,1979,"Marine National Park","MNP","Curieuse",1,1,1,1470,0,1,"SYC"
"106",665,"Africa","Southwest Indian Ocean","Seychelles",12878,"Unknown",-4.31017,55.866667,1987,"Protected Area","PA","Ile Cocos",1,1,1,1,0,0,"SYC"
"107",651,"Africa","Southwest Indian Ocean","Seychelles",6936,"II",-4.649316,55.390433,1979,"Marine National Park","MNP","Port Launay",1,1,1,158,1,1,"SYC"
"108",657,"Africa","Southwest Indian Ocean","Seychelles",62230,"II",-4.463599,55.245491,1987,"Marine National Park","MNP","Silhouette",1,1,1,3045,0,1,"SYC"
"109",654,"Africa","Southwest Indian Ocean","Seychelles",6934,"II",-4.616742,55.501964,1973,"Marine National Park","MNP","St. Anne",1,1,1,1423,1,0,"SYC"
"110",955,"Africa","West Africa","Cameroon",1242,"IV",2.384715,10.09687,1932,"Faunal Reserve","FR","Campo",1,0,0,300000,0,0,"CMR"
"111",1015,"Africa","West Africa","Cameroon",1244,"IV",3.675863,9.690824,1932,"Faunal Reserve","FR","Douala-Edea",1,1,0,160000,0,1,"CMR"
"112",1016,"Africa","West Africa","Cameroon",1244,"IV",3.675863,9.690824,1932,"Faunal Reserve","FR","Douala-Edea",1,1,0,160000,0,1,"CMR"
"113",1623,"Africa","West Africa","Cape Verde Islands",20252,"Unknown",16.1333,-22.6667,1990,"Nature Reserve","NR","Ilheu Baluarte",0,1,0,50,0,0,"CPV"
"114",898,"Africa","West Africa","Equatorial Guinea",20260,"Unknown",1.115468,9.806266,1990,"Protected Area","PA","Estuario de rio Muni",0,1,0,70000,0,1,"GNQ"
"115",940,"Africa","West Africa","Equatorial Guinea",28631,"Unknown",2.103807,9.975078,1990,"Protected Area","PA","Estuario de rio Ntem (Campo)",0,1,0,20000,0,1,"GNQ"
"116",774,"Africa","West Africa","Equatorial Guinea",20269,"Unknown",1.427754,5.619911,1990,"Protected Area","PA","Isla de Annobon",0,1,0,1700,0,0,"GNQ"
"117",1006,"Africa","West Africa","Equatorial Guinea",20263,"Unknown",3.339553,8.594607,1990,"Protected Area","PA","Sur de la Isla de Bioco",0,1,0,60000,0,1,"GNQ"
"118",1092,"Africa","West Africa","Ivory Coast",7522,"II",5.221391,-4.87765,1981,"National Park","NP","Azagny",0,1,0,19000,0,1,"CIV"
"119",1098,"Africa","West Africa","Ivory Coast",725,"II",5.402923,-4.058425,1953,"National Park","NP","Banco",1,1,0,3000,0,0,"CIV"
"120",1089,"Africa","West Africa","Ivory Coast",20174,"II",5.188724,-3.242332,1974,"National Park","NP","Iles Ehotile",0,1,0,10500,0,1,"CIV"
"121",1405,"Africa","West Africa","Senegal",868,"II",12.40175,-16.59662,1970,"National Park","NP","Basse-Casamance",1,1,0,5000,0,1,"SEN"
"122",1527,"Africa","West Africa","Senegal",866,"II",13.723,-16.708,1976,"National Park","NP","Delta du Saloum",1,1,0,76000,0,1,"SEN"
"123",1610,"Africa","West Africa","Senegal",11653,"IV",15.916667,-16.466667,1983,"Faunal Reserve","FR","Gueumbeul Special",1,0,0,750,0,0,"SEN"
"124",1572,"Africa","West Africa","Senegal",870,"II",14.655,-17.472,1949,"National Park","NP","Iles de la Madeleine",1,1,0,450,0,0,"SEN"
"125",1419,"Africa","West Africa","Senegal",3217,"IV",12.666667,-16.75,1978,"Special Reserve","SpR","Kalissaye",1,1,0,16,0,0,"SEN"
"126",1589,"Africa","West Africa","Senegal",869,"II",14.916667,-16.5,1976,"National Park","NP","Langue de Barbarie",1,1,0,2000,0,0,"SEN"
"127",1570,"Africa","West Africa","Senegal",12263,"IV",14.565,-17.131001,1986,"Faunal Reserve","FR","Popenguine Special",0,1,0,1009,0,0,"SEN"
"128",1720,"Americas","Eastern Caribbean","Anguilla",32642,"Unknown",18.23008,-63.073,0,"Fish Nursery Reserve","FNR","Little Bay",1,0,1,0,0,0,"AIA"
"129",1770,"Americas","Eastern Caribbean","Anguilla",14074,"Unknown",18.5,-63.1167,0,"Marine Park","MP","Sandy Island",1,1,1,0,0,0,"AIA"
"130",1726,"Americas","Eastern Caribbean","Anguilla",32636,"Unknown",18.279,-63.166,0,"Marine Park","MP","Seal Island and Prickly Pear Cay East",1,1,1,0,0,0,"AIA"
"131",1729,"Americas","Eastern Caribbean","Anguilla",14075,"Unknown",18.2833,-63.0333,0,"Marine Park","MP","Shoal Bay",1,1,1,0,0,0,"AIA"
"132",1655,"Americas","Eastern Caribbean","Antigua and Barbuda",31538,"Unknown",17,-61.866667,1999,"Marine Reserve","MR","Cades Bay",1,1,1,0,1,1,"ATG"
"133",1665,"Americas","Eastern Caribbean","Antigua and Barbuda",31541,"Unknown",17.1,-61.716667,0,"Marine Park","MP","Crump Island Coral Reef",1,0,1,0,0,0,"ATG"
"134",1661,"Americas","Eastern Caribbean","Antigua and Barbuda",61687,"V",17.033001,-61.867001,0,"Park Reserve","PRes","Darkwood",1,0,0,0,0,0,"ATG"
"135",1668,"Americas","Eastern Caribbean","Antigua and Barbuda",1,"II",17.195999,-61.862,1973,"Marine Park","MP","Diamond Reef",1,1,1,2000,0,0,"ATG"
"136",1669,"Americas","Eastern Caribbean","Antigua and Barbuda",1,"II",17.195999,-61.862,1973,"Marine Park","MP","Diamond Reef",1,1,1,2000,0,0,"ATG"
"137",1663,"Americas","Eastern Caribbean","Antigua and Barbuda",61688,"V",17.049999,-61.882999,0,"Park Reserve","PRes","Ffryes Bay",1,0,0,0,0,0,"ATG"
"138",1664,"Americas","Eastern Caribbean","Antigua and Barbuda",14504,"IV",17.066999,-61.667,0,"Park Reserve","PRes","Green Island Reefs",1,1,1,0,0,0,"ATG"
"139",1662,"Americas","Eastern Caribbean","Antigua and Barbuda",31547,"II",17.033001,-61.682999,0,"National Park","NP","Half Moon Bay",0,1,0,0,0,0,"ATG"
"140",1659,"Americas","Eastern Caribbean","Antigua and Barbuda",12760,"II",17.009001,-61.782001,1984,"National Park","NP","Nelson's Dockyard",1,1,1,4128,0,1,"ATG"
"141",1666,"Americas","Eastern Caribbean","Antigua and Barbuda",31518,"IV",17.132999,-61.733002,0,"Park Reserve","PRes","Northeast Archipelago",1,0,1,0,0,0,"ATG"
"142",1680,"Americas","Eastern Caribbean","Antigua and Barbuda",2,"II",17.518999,-61.747002,1973,"Marine National Park","MNP","Palaster Reef",1,0,1,500,0,0,"ATG"
"143",1681,"Americas","Eastern Caribbean","Antigua and Barbuda",2,"II",17.518999,-61.747002,1973,"Marine National Park","MNP","Palaster Reef",1,0,1,500,0,0,"ATG"
"144",1682,"Americas","Eastern Caribbean","Antigua and Barbuda",2,"II",17.518999,-61.747002,1973,"Marine National Park","MNP","Palaster Reef",1,0,1,500,0,0,"ATG"
"145",1475,"Americas","Eastern Caribbean","Barbados",61774,"IV",13.267,-59.599998,0,"Wildlife Reserve","WR","Barbados WR",1,0,0,0,0,0,"BRB"
"146",1469,"Americas","Eastern Caribbean","Barbados",61773,"IV",13.2,-59.567001,0,"Private Reserve","PrivR","Flower Forest",1,0,0,22,0,0,"BRB"
"147",251,"Americas","Eastern Caribbean","Barbados",27,"II",-22.516667,166.75,1980,"Marine Reserve","MR","Folkestone",1,1,1,230,0,0,"BRB"
"148",1598,"Americas","Eastern Caribbean","Dominica",11844,"II",15.583,-61.483002,1986,"National Park","NP","Cabrits",1,1,1,531,1,1,"DMA"
"149",1594,"Americas","Eastern Caribbean","Dominica",37117,"V",15.23,-61.383333,0,"Marine Reserve","MR","Soufriere/Scott's Head",1,0,1,0,0,0,"DMA"
"150",1632,"Americas","Eastern Caribbean","Guadeloupe",19270,"IV",16.358,-61.587002,1987,"Nature Reserve","NR","Grand Cul de Sac Marin",1,1,1,3736,1,1,"GLP"
"151",1633,"Americas","Eastern Caribbean","Guadeloupe",19270,"IV",16.358,-61.587002,1987,"Nature Reserve","NR","Grand Cul de Sac Marin",1,1,1,3736,1,1,"GLP"
"152",1634,"Americas","Eastern Caribbean","Guadeloupe",19270,"IV",16.358,-61.587002,1987,"Nature Reserve","NR","Grand Cul de Sac Marin",1,1,1,3736,1,1,"GLP"
"153",1635,"Americas","Eastern Caribbean","Guadeloupe",19270,"IV",16.358,-61.587002,1987,"Nature Reserve","NR","Grand Cul de Sac Marin",1,1,1,3736,1,1,"GLP"
"154",1636,"Americas","Eastern Caribbean","Guadeloupe",19270,"IV",16.358,-61.587002,1987,"Nature Reserve","NR","Grand Cul de Sac Marin",1,1,1,3736,1,1,"GLP"
"155",1637,"Americas","Eastern Caribbean","Guadeloupe",19270,"IV",16.358,-61.587002,1987,"Nature Reserve","NR","Grand Cul de Sac Marin",1,1,1,3736,1,1,"GLP"
"156",1626,"Americas","Eastern Caribbean","Guadeloupe",33422,"V",16.16,-61.756001,1989,"Buffer Zone","BZ","Guadeloupe",0,1,0,16200,0,0,"GLP"
"157",1625,"Americas","Eastern Caribbean","Guadeloupe",220170,"IV",16.15513,-61.116667,1998,"Nature Reserve","NR","Petite-Terre",1,1,1,990,0,0,"GLP"
"158",1627,"Americas","Eastern Caribbean","Guadeloupe",31327,"Unknown",16.17714,-61.78475,0,"Nature Reserve","NR","Pigeon/Malendure",1,1,1,200,0,0,"GLP"
"159",1695,"Americas","Eastern Caribbean","Guadeloupe",147314,"IV",17.93,-62.833333,1996,"Nature Reserve (by Decree)","FR03","Saint BarthTlemy",1,0,1,1200,0,0,"GLP"
"160",1712,"Americas","Eastern Caribbean","Guadeloupe",61705,"IV",18.12,-63,1998,"Nature Reserve","NR","Saint-Martin",1,1,1,3060,0,0,"GLP"
"161",1563,"Americas","Eastern Caribbean","Martinique",61759,"Unknown",14.4167,-60.85,1986,"Registered Site","RS","Baie des Anglais",1,0,0,654,0,0,"MTQ"
