"","ID","DISEASE_TYPE","YEAR","LAT","LON","REGION","SUBREGION","COUNTRY","LOCATION","NEAREST_TOWN","GENUS_SPECIES","PERCENTAGE_INCIDENCE","DISEASE_REMARKS","MORTALITY_PERCENTAGE","DISEASED_PERCENTAGE","REFERENCE_ID","REMARKS","COUNTRY_CODE","SOURCE"
"11",2703,"Black-band Disease",2001,18.466667,-64.525,"","","","Diamond Reef","Great Camanoe, ","","1","Few (2-50) colonies","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 3m, % incidence averaged from four consecutive 20m transect sections","VGB",""
"12",3849,"No disease",2003,18.49166667,-64.52722222,"","","","George Dog","Dog Islands, ","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 3m, % incidence averaged from four consecutive 20m transect sections","VGB",""
"13",3850,"No disease",2003,18.49166667,-64.52722222,"","","","George Dog","Dog Islands, ","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 10m, % incidence averaged from four consecutive 20m transect sections","VGB",""
"14",28368,"No disease",2004,18.49222222,-64.46138889,"","","","George Dog ""Bronco Billy""","","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 10m, % incidence averaged from four consecutive 20m transect sections","VGB",""
"15",29468,"Disease unspecified",1999,18.47916667,-64.45566667,"","","","Great Dog","","","25","Few (2-50) colonies","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 10m, % incidence averaged from four consecutive 20m transect sections","VGB",""
"16",31635,"Unknown",2007,17.93,-76.84,"","","","Gun Cay","Port Royal","No data","","","","",NA,"Reef Check Submitted By Loureene Jones. Reef ID 76.49.133W.17.55.176N","Gun Cay",""
"17",28204,"No disease",2004,15.16152778,145.6968889,"","","","Ice Cream Point","Saipan, Chalan Kanoa","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 14.5m, % incidence averaged from four consecutive 20m transect sections","MNP",""
"18",28191,"No disease",2004,-8.186305556,125.6381389,"","","","North of Tanjung Reta","Atauro, Bekali","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 7.1m, % incidence averaged from four consecutive 20m transect sections","TLS",""
"19",28192,"No disease",2004,-8.186305556,125.6381389,"","","","North of Tanjung Reta","Atauro, Bekali","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 13m, % incidence averaged from four consecutive 20m transect sections","TLS",""
"20",3953,"Coral tumours",2003,15.10461111,145.7380833,"","","","Obyan Beach","Saipan, Dandan","","0.25","Few (2-50) colonies","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 9.5m, % incidence averaged from four consecutive 20m transect sections","MNP",""
"21",2437,"Black-band Disease",2000,15.101944,145.7369444,"","","","Obyan Beach","Saipan, Dandan","","0.02","Few (2-50) colonies","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 5m, % incidence averaged from four consecutive 20m transect sections","MNP",""
"22",2438,"Black-band Disease",2000,15.101944,145.7369444,"","","","Obyan Beach","Saipan, Dandan","","0.02","Few (2-50) colonies","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 10m, % incidence averaged from four consecutive 20m transect sections","MNP",""
"23",3853,"No disease",2003,18.335,-64.62666667,"","","","Pelican Island","","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 3m, % incidence averaged from four consecutive 20m transect sections","VGB",""
"24",3854,"No disease",2003,18.335,-64.62666667,"","","","Pelican Island","","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 10m, % incidence averaged from four consecutive 20m transect sections","VGB",""
"25",31496,"Unknown",2008,18.14,-78.04,"","","","Peter Tosh Reef","Savanna-la-mar","No data","No data","No data","No data","No data",NA,"Reef Check Submitted by Loureene Jones Reef ID : 78.2.295W.18.8.188N","",""
"26",28195,"No disease",2004,-8.170305556,125.6444722,"","","","South of Barstool","Atauro, ","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 6.6m, % incidence averaged from four consecutive 20m transect sections","TLS",""
"27",28196,"No disease",2004,-8.170305556,125.6444722,"","","","South of Barstool","Atauro, ","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 12.4m, % incidence averaged from four consecutive 20m transect sections","TLS",""
"28",28189,"No disease",2004,-8.200444444,125.6301944,"","","","South of Tanjung Reta","Atauro, Bikeli","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 5.8m, % incidence averaged from four consecutive 20m transect sections","TLS",""
"29",28190,"No disease",2004,-8.200444444,125.6301944,"","","","South of Tanjung Reta","Atauro, Bikeli","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 12m, % incidence averaged from four consecutive 20m transect sections","TLS",""
"30",3851,"No disease",2003,18.32461111,-64.60269444,"","","","Spyglass","","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 10m, % incidence averaged from four consecutive 20m transect sections","VGB",""
"31",3852,"No disease",2003,18.32461111,-64.60269444,"","","","Spyglass","","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 3m, % incidence averaged from four consecutive 20m transect sections","VGB",""
"32",29422,"No disease",1999,14.1745,145.1858333,"","","","Teteto Beach","Rota, ","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 10m, % incidence averaged from four consecutive 20m transect sections","MNP",""
"33",29423,"No disease",1999,14.17083333,145.1885,"","","","Teteto Beach","Rota, ","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 3m, % incidence averaged from four consecutive 20m transect sections","MNP",""
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",31454,"No disease",2008,19.76,-70.52,"","","","West Wall","Sosua","","","","","",NA,"Reef Check, submitted by Angel Luis Franco 70.31.14.1W.19.45.37.8N","",""
"36",31393,"Aspergillosis",2009,15.95,-86.47,"","","Honduras (Pacific)","El Avion","Cayos Cochinos","No data","No data","No data","No data","No data",NA,"Reef check submitted by Jonathan Shrives. Reef ID 86.28.419W.15.57.230N","HND_PAC",""
"37",31603,"Unknown",2007,15.95,-86.47,"","","Honduras (Pacific)","El Avion","Cayos Cochinos","No data","No data","No data","","",NA,"Reef Check Submitted By Biosphere Expeditions. Reef ID 86.28.419W.15.57.230N","HND_PAC",""
"38",31604,"Unknown",2007,15.95,-86.47,"","","Honduras (Pacific)","El Avion","Cayos Cochinos","No data","No data","No data","","",NA,"Reef Check Submitted By Biosphere Expeditions. Reef ID 86.28.419W.15.57.230N","HND_PAC",""
"39",31605,"Unknown",2007,15.95,-86.47,"","","Honduras (Pacific)","El Avion","Cayos Cochinos","No data","No daat","No data","","",NA,"Reef Check Submitted By Biosphere Expeditions. Reef ID  86.28.419W.15.57.230N","HND_PAC",""
"40",31394,"Unknown",2009,15.65,-86.48,"","","Honduras (Pacific)","Pelican Point 4","Cayos Cochinos","No data","No data","No data","No data","No data",NA,"Reef check submitted by Jonathan Shrives. Reef ID :86.28.43W.15.38.51N","HND_PAC",""
"41",31417,"No disease",2009,12.22,-69.09,"","","Netherlands","PortoMari Transect 1","No data","No data","No data","No data","No data","No data",NA,"Reef Check submitted by Marjo van den Bulck. Reef ID : 69.5.248W.12.13.116N","NLD",""
"42",28452,"No disease",2004,-1.683333,37.916667,"Africa","Eastern Africa","Kenya","Chongo cha Chano Shariff","Coast, Mombasa","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 12m, % incidence averaged from four consecutive 20m transect sections","KEN",""
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",28340,"No disease",2004,-3.259055556,40.14516667,"Africa","Eastern Africa","Kenya","Lobster Malindi","Coast, Malindi","","0","","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 3m, % incidence averaged from four consecutive 20m transect sections","KEN",""
"54",3970,"Disease unspecified",2003,-3.25,40.15,"Africa","Eastern Africa","Kenya","Malindi Barracuda Channel","Coast, Malindi","","0.5","Few (2-50) colonies","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 3m, % incidence averaged from four consecutive 20m transect sections","KEN",""
"55",3808,"No disease",2003,-3.259138889,40.14177778,"Africa","Eastern Africa","Kenya","Malindi Coral Garden","Coast, Malindi","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 3m, % incidence averaged from four consecutive 20m transect sections","KEN",""
"56",3809,"No disease",2003,-3.316667,40.116667,"Africa","Eastern Africa","Kenya","Malindi North Reef","Coast, Malindi","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 3m, % incidence averaged from four consecutive 20m transect sections","KEN",""
"57",3810,"No disease",2003,-3.316667,40.116667,"Africa","Eastern Africa","Kenya","Malindi North Reef","Coast, Malindi","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 3m, % incidence averaged from four consecutive 20m transect sections","KEN",""
"58",28341,"No disease",2004,-3.262777778,40.13413889,"Africa","Eastern Africa","Kenya","Navy Malindi","Coast, Malindi","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 3m, % incidence averaged from four consecutive 20m transect sections","KEN",""
"59",3147,"No disease",2002,-11.69433333,40.59566667,"Africa","Eastern Africa","Mozambique","Baixo Vadiazi","","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 5m, % incidence averaged from four consecutive 20m transect sections","MOZ",""
"60",3149,"No disease",2002,-12.5025,40.63566667,"Africa","Eastern Africa","Mozambique","Ilha Quilaluia","","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 10.9m, % incidence averaged from four consecutive 20m transect sections","MOZ",""
"61",3148,"No disease",2002,-12.638,40.623,"Africa","Eastern Africa","Mozambique","Ilha Quisiva","","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 10m, % incidence averaged from four consecutive 20m transect sections","MOZ",""
"62",2498,"No disease",2000,-28.86305556,34.44361111,"Africa","Eastern Africa","Mozambique","Malongane","","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 16m, % incidence averaged from four consecutive 20m transect sections","MOZ",""
"63",2776,"No disease",2001,-27.52111111,32.68666667,"Africa","Eastern Africa","South Africa","4 Buoy Reef","Sodwana Bay, ","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 12.2m, % incidence averaged from four consecutive 20m transect sections","ZAF",""
"64",2777,"No disease",2001,-27.52111111,32.68666667,"Africa","Eastern Africa","South Africa","4 Buoy Reef","Sodwana Bay, ","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 12m, % incidence averaged from four consecutive 20m transect sections","ZAF",""
"NA.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",30527,"Yellow band disease",1998,-28.783333,32.116667,"Africa","Eastern Africa","South Africa","Two Mile Reef","Sodwana","Favites pentagona","0","no disease","unknown","unknown",26209,"","ZAF","Jordan, I.E. and M.J. Samways, 2001. Recent changes in coral assemblages of a South African coral reef, with recommendations for long-term monitoring Biodiversity and Conservation Vol.10: 1027-1037, 2001"
"68",30528,"Yellow band disease",1998,-28.783333,32.116667,"Africa","Eastern Africa","South Africa","Two Mile Reef","Sodwana","","0","no disease","unknown","unknown",26209,"","ZAF","Jordan, I.E. and M.J. Samways, 2001. Recent changes in coral assemblages of a South African coral reef, with recommendations for long-term monitoring Biodiversity and Conservation Vol.10: 1027-1037, 2001"
"69",30529,"Black-band Disease",1998,-28.783333,32.116667,"Africa","Eastern Africa","South Africa","Two Mile Reef","Sodwana","","0","no disease","unknown","unknown",26209,"","ZAF","Jordan, I.E. and M.J. Samways, 2001. Recent changes in coral assemblages of a South African coral reef, with recommendations for long-term monitoring Biodiversity and Conservation Vol.10: 1027-1037, 2001"
"70",30530,"Black-band Disease",1998,-28.783333,32.116667,"Africa","Eastern Africa","South Africa","Two Mile Reef","Sodwana","Acropora austera","0","no disease","unknown","unknown",26209,"","ZAF","Jordan, I.E. and M.J. Samways, 2001. Recent changes in coral assemblages of a South African coral reef, with recommendations for long-term monitoring Biodiversity and Conservation Vol.10: 1027-1037, 2001"
"71",31251,"No disease",1998,-10.32330556,40.36227778,"Africa","Eastern Africa","Tanzania","Chumba Cha Chumbo","","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 5m, % incidence averaged from four consecutive 20m transect sections","TZA",""
"72",31252,"No disease",1998,-10.32330556,40.36227778,"Africa","Eastern Africa","Tanzania","Chumba Cha Chumbo","","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 10m, % incidence averaged from four consecutive 20m transect sections","TZA",""
"73",28335,"No disease",2004,-6.276388889,39.17441667,"Africa","Eastern Africa","Tanzania","Chumbe Island Coral Park","Zanzibar, Chumbe Island","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 3m, % incidence averaged from four consecutive 20m transect sections","TZA",""
"74",28336,"No disease",2004,-6.276388889,39.17441667,"Africa","Eastern Africa","Tanzania","Chumbe Island Coral Park","Zanzibar, Chumbe Island","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 3.5m, % incidence averaged from four consecutive 20m transect sections","TZA",""
"75",28337,"No disease",2004,-6.276388889,39.17441667,"Africa","Eastern Africa","Tanzania","Chumbe Island Coral Park","Zanzibar, Chumbe Island","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 2.5m, % incidence averaged from four consecutive 20m transect sections","TZA",""
"76",28333,"No disease",2004,-5.540555556,39.03738889,"Africa","Eastern Africa","Tanzania","Fungu Zinga Reef","Tanga, Pangani","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 2.5m, % incidence averaged from four consecutive 20m transect sections","TZA",""
"77",3805,"No disease",2003,-5.540555556,39.03738889,"Africa","Eastern Africa","Tanzania","Fungu Zinga Reef","Tanga, Pangani","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 3m, % incidence averaged from four consecutive 20m transect sections","TZA",""
"NA.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",28334,"No disease",2004,-5.497222222,39.06638889,"Africa","Eastern Africa","Tanzania","Maziwe Reef","Tanga, Pangani","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 3m, % incidence averaged from four consecutive 20m transect sections","TZA",""
"80",3806,"No disease",2003,-5.497222222,39.06638889,"Africa","Eastern Africa","Tanzania","Maziwe Reef","Tanga, Pangani","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 3m, % incidence averaged from four consecutive 20m transect sections","TZA",""
"81",3807,"No disease",2003,-5.497222222,39.06638889,"Africa","Eastern Africa","Tanzania","Maziwe Reef 2","Tanga, Pangani","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 3m, % incidence averaged from four consecutive 20m transect sections","TZA",""
"82",28338,"No disease",2004,-6.763666667,39.21663889,"Africa","Eastern Africa","Tanzania","Mwan wa Mwana, near Tumbatu Island","Zanzibar, Kendwa","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 4.5m, % incidence averaged from four consecutive 20m transect sections","TZA",""
"83",28339,"No disease",2004,-6.763666667,39.21663889,"Africa","Eastern Africa","Tanzania","Mwan wa Mwana, near Tumbatu Island","Zanzibar, Kendwa","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 9.5m, % incidence averaged from four consecutive 20m transect sections","TZA",""
"84",31253,"No disease",1998,-10.30508333,40.39219444,"Africa","Eastern Africa","Tanzania","Ravula","","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 5m, % incidence averaged from four consecutive 20m transect sections","TZA",""
"85",31254,"No disease",1998,-10.30508333,40.39219444,"Africa","Eastern Africa","Tanzania","Ravula","","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 10m, % incidence averaged from four consecutive 20m transect sections","TZA",""
"86",31334,"No disease",1998,-6.713333333,39.28833333,"Africa","Eastern Africa","Tanzania","The Gap","Dar Es Salaam","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 5m, % incidence averaged from four consecutive 20m transect sections","TZA",""
"87",31335,"No disease",1998,-6.713333333,39.28833333,"Africa","Eastern Africa","Tanzania","The Gap","Dar Es Salaam","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 10m, % incidence averaged from four consecutive 20m transect sections","TZA",""
"88",2780,"No disease",2001,-16.32916667,43.96888889,"Africa","Southwest Indian Ocean","Madagascar","Chesterfield Island","","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 4m, % incidence averaged from four consecutive 20m transect sections","MDG",""
"89",3824,"No disease",2003,-21.9555,43.20905556,"Africa","Southwest Indian Ocean","Madagascar","East Nosy Andrahombava","Morombe, Andavadoaka","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 8m, % incidence averaged from four consecutive 20m transect sections","MDG",""
"90",3822,"No disease",2003,-22.0905,43.19627778,"Africa","Southwest Indian Ocean","Madagascar","East Nosy Hao","Morombe, Andavadoaka","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 5m, % incidence averaged from four consecutive 20m transect sections","MDG",""
"91",3825,"No disease",2003,-22.9555,43.20905556,"Africa","Southwest Indian Ocean","Madagascar","East Nosy Masai","Morombe, Andavadoaka","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 10m, % incidence averaged from four consecutive 20m transect sections","MDG",""
"92",3823,"No disease",2003,-22.05894444,43.1975,"Africa","Southwest Indian Ocean","Madagascar","North Nosy Fasy","Morombe, Andavadoaka","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 7m, % incidence averaged from four consecutive 20m transect sections","MDG",""
"93",3816,"No disease",2003,-22.07677778,43.19319444,"Africa","Southwest Indian Ocean","Madagascar","North Nosy Hao","Morombe, Andavadoaka","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 12m, % incidence averaged from four consecutive 20m transect sections","MDG",""
"94",3814,"No disease",2003,-22.00177778,43.18683333,"Africa","Southwest Indian Ocean","Madagascar","North Nosy Masai","Morombe, Andavadoaka","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 10m, % incidence averaged from four consecutive 20m transect sections","MDG",""
"95",2778,"No disease",2001,-23.63711111,43.60380556,"Africa","Southwest Indian Ocean","Madagascar","Nosy Ve (Aquarium)","","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 4m, % incidence averaged from four consecutive 20m transect sections","MDG",""
"96",28346,"No disease",2004,-13.32483333,45.8335,"Africa","Southwest Indian Ocean","Madagascar","Olaf's Reef","Nosy-be, Sakatia Island","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 7.5m, % incidence averaged from four consecutive 20m transect sections","MDG",""
"97",31499,"Unknown",2008,-22.12,43.2,"Africa","Southwest Indian Ocean","Madagascar","Recruitment Complex","Andavadoaka","No data","No data","No data","No data","No data",NA,"Reef Check submitted by Blue Ventures. Reef Id : 43.11.49.7E.22.07.22.3S","MDG",""
"98",2779,"No disease",2001,-23.67277778,43.615,"Africa","Southwest Indian Ocean","Madagascar","South Anako Reef","","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 4m, % incidence averaged from four consecutive 20m transect sections","MDG",""
"99",3819,"No disease",2003,-21.98480556,43.19463889,"Africa","Southwest Indian Ocean","Madagascar","South Nosy Andrahombava","Morombe, Andavadoaka","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 11m, % incidence averaged from four consecutive 20m transect sections","MDG",""
"100",3818,"No disease",2003,-22.07113889,43.19369444,"Africa","Southwest Indian Ocean","Madagascar","South Nosy Fasy","Morombe, Andavadoaka","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 10m, % incidence averaged from four consecutive 20m transect sections","MDG",""
"101",3821,"No disease",2003,-22.10338889,43.19580556,"Africa","Southwest Indian Ocean","Madagascar","South Nosy Hao","Morombe, Andavadoaka","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 11m, % incidence averaged from four consecutive 20m transect sections","MDG",""
"102",3815,"No disease",2003,-22.01519444,43.18933333,"Africa","Southwest Indian Ocean","Madagascar","South Nosy Masai 1","Morombe, Andavadoaka","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 6m, % incidence averaged from four consecutive 20m transect sections","MDG",""
"103",3817,"No disease",2003,-22.01763889,43.19369444,"Africa","Southwest Indian Ocean","Madagascar","South Nosy Masai 2","Morombe, Andavadoaka","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 10.5m, % incidence averaged from four consecutive 20m transect sections","MDG",""
"104",3820,"No disease",2003,-21.12175,43.19333333,"Africa","Southwest Indian Ocean","Madagascar","West Nosy Andrahombava","Morombe, Andavadoaka","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 8m, % incidence averaged from four consecutive 20m transect sections","MDG",""
"105",3813,"No disease",2003,-22.06108333,43.18575,"Africa","Southwest Indian Ocean","Madagascar","West Nosy Fasy","Morombe, Andavadoaka","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 7m, % incidence averaged from four consecutive 20m transect sections","MDG",""
"106",3811,"No disease",2003,-22.09169444,43.17683333,"Africa","Southwest Indian Ocean","Madagascar","West Nosy Hao","Morombe, Andavadoaka","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 12.6m, % incidence averaged from four consecutive 20m transect sections","MDG",""
"107",3812,"No disease",2003,-22.00911111,43.18286111,"Africa","Southwest Indian Ocean","Madagascar","West Nosy Masai","Morombe, Andavadoaka","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 10m, % incidence averaged from four consecutive 20m transect sections","MDG",""
"108",2962,"Skeleton eroding band",2002,-20.25,57.75,"Africa","Southwest Indian Ocean","Mauritius","","","Acropora spp.","unknown","no record","unknown","unknown",19686,"","MUS","Riegl, B. and A. Antonius, 2003. Halofolliculina skeleton eroding band (SEB): a coral disease with fossilization potential? Coral Reefs 22: 48-48"
"109",30551,"Skeleton eroding band",1998,-20.25,57.75,"Africa","Southwest Indian Ocean","Mauritius","","","Cyphastrea chalcidicum","0.05","Few (2-50) colonies","unknown","unknown",26225,"Date is uncertain","MUS","Antonius, A. and D. Lipscomb, 2001. First protozoan coral-killer identified in the Indo-Pacific Atoll Research Bulletin, Vol.481:1-21"
"110",2787,"No disease",2001,-19.66705556,63.40953056,"Africa","Southwest Indian Ocean","Mauritius","Chaland, Passe Armand (10m)","","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 10m, % incidence averaged from four consecutive 20m transect sections","MUS",""
"111",2786,"No disease",2001,-19.66791667,63.40919444,"Africa","Southwest Indian Ocean","Mauritius","Chaland, Passe Armand (3m)","","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 3m, % incidence averaged from four consecutive 20m transect sections","MUS",""
"112",3439,"No disease",2003,-19.668333,63.41305556,"Africa","Southwest Indian Ocean","Mauritius","Passe Armand","Rodrigues, Pt. Monier","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 6m, % incidence averaged from four consecutive 20m transect sections","MUS",""
